id,name,instruction
0,toothbrushing_01,"Put toothpaste on your toothbrush"
1,toothbrushing_02,"Put toothpaste away"
2,toothbrushing_03,"Get toothpaste and toothbrush wet"
3,toothbrushing_04,"Brush biting surface of your bottom teeth, moving from one side to the other"
4,toothbrushing_05,"Brush the biting surface of your top teeth, moving from one side to the other"
5,toothbrushing_06,"Brush the outside surface (facing cheeks) of bottom teeth, moving from one side to the other"
6,toothbrushing_07,"Brush the outside surface (facing cheeks) of top teeth, moving from one side to the other"
7,toothbrushing_08,"Brush the inside surface (facing tongue) of bottom teeth on both sides"
8,toothbrushing_09,"Brush the inside surface (facing tongue) of top teeth on both sides"
9,toothbrushing_10,"Spit in the sink"
10,toothbrushing_11,"Rinse toothbrush and put it away"
11,toothbrushing_12,"Get your cup and fill with water"
12,toothbrushing_13,"Rinse mouth and spit in sink"
13,toothbrushing_14,"Wipe your face with a towel"
